Epoch 3/30 | Batch 2280/4036 | Loss: 0.7144 | LR: 9.99e-05
Epoch 3/30 | Batch 2320/4036 | Loss: 0.7158 | LR: 9.99e-05
Epoch 3/30 | Batch 2360/4036 | Loss: 0.7320 | LR: 9.99e-05
Epoch 3/30 | Batch 2400/4036 | Loss: 0.7374 | LR: 9.99e-05
Epoch 3/30 | Batch 2440/4036 | Loss: 0.7302 | LR: 9.99e-05
Epoch 3/30 | Batch 2480/4036 | Loss: 0.7128 | LR: 9.99e-05
Epoch 3/30 | Batch 2520/4036 | Loss: 0.7452 | LR: 9.99e-05
Epoch 3/30 | Batch 2560/4036 | Loss: 0.7562 | LR: 9.99e-05
Epoch 3/30 | Batch 2600/4036 | Loss: 0.7215 | LR: 9.99e-05
Epoch 3/30 | Batch 2640/4036 | Loss: 0.7058 | LR: 9.99e-05
Epoch 3/30 | Batch 2680/4036 | Loss: 0.7412 | LR: 9.99e-05
Epoch 3/30 | Batch 2720/4036 | Loss: 0.7104 | LR: 9.99e-05
Epoch 3/30 | Batch 2760/4036 | Loss: 0.7287 | LR: 9.99e-05
Epoch 3/30 | Batch 2800/4036 | Loss: 0.7463 | LR: 9.99e-05
Epoch 3/30 | Batch 2840/4036 | Loss: 0.7310 | LR: 9.98e-05
Epoch 3/30 | Batch 2880/4036 | Loss: 0.7301 | LR: 9.98e-05
Epoch 3/30 | Batch 2920/4036 | Loss: 0.7237 | LR: 9.98e-05
Epoch 3/30 | Batch 2960/4036 | Loss: 0.7385 | LR: 9.98e-05
Epoch 3/30 | Batch 3000/4036 | Loss: 0.7406 | LR: 9.98e-05
Epoch 3/30 | Batch 3040/4036 | Loss: 0.7448 | LR: 9.98e-05
Epoch 3/30 | Batch 3080/4036 | Loss: 0.7512 | LR: 9.98e-05
Epoch 3/30 | Batch 3120/4036 | Loss: 0.7212 | LR: 9.98e-05
Epoch 3/30 | Batch 3160/4036 | Loss: 0.6901 | LR: 9.98e-05
Epoch 3/30 | Batch 3200/4036 | Loss: 0.7081 | LR: 9.98e-05
Epoch 3/30 | Batch 3240/4036 | Loss: 0.7296 | LR: 9.98e-05
Epoch 3/30 | Batch 3280/4036 | Loss: 0.6908 | LR: 9.98e-05
Epoch 3/30 | Batch 3320/4036 | Loss: 0.7016 | LR: 9.98e-05
Epoch 3/30 | Batch 3360/4036 | Loss: 0.7023 | LR: 9.98e-05
Epoch 3/30 | Batch 3400/4036 | Loss: 0.7148 | LR: 9.98e-05
Epoch 3/30 | Batch 3440/4036 | Loss: 0.7207 | LR: 9.98e-05
Epoch 3/30 | Batch 3480/4036 | Loss: 0.7215 | LR: 9.98e-05
Epoch 3/30 | Batch 3520/4036 | Loss: 0.7344 | LR: 9.98e-05
Epoch 3/30 | Batch 3560/4036 | Loss: 0.7341 | LR: 9.98e-05
